SRVPTH001APG	10.156.84.94	APARECIDA DE GOIANIA
SRVPTH001BLU	10.156.18.21	BLUMENAU
SRVPTH001CDR	10.156.58.81	CAÇADOR
SRVPTH001CCH	10.156.14.12	CACHOEIRO DO ITAPEMIRIM
SRVPTH001JAG	10.156.26.100	JAGUARIBE
SRVPTH001JTI	10.156.98.99	JATAÍ
SRVPHT001LIM	10.156.10.33	LIMEIRA
SRVPTH001MCE	10.156.81.54	MACAÉ
SRVPTH001RMM	10.156.30.245	MACÉIO
SRVPHT001MAI	10.156.36.9	MAIRINQUE
SRVPHT001MAN	10.156.198.24	MANSO
SRVPHT001MAU	10.156.16.40	MAUÁ
SRVPHT001PDL	10.156.180.80	PAÇO DO LUMIAR
SRVPHT001PFA	10.156.50.41	PORTO FERREIRA
SRVPTH001RCO	10.156.174.11	RIO CLARO
SRVPTH001RDO	10.156.42.42	RIO DAS OSTRAS
SRVPTH001RVD	10.156.86.99	RIO VERDE
SRVPTH001RMR	10.156.22.19	RMR - REGIÃO METROP. DE RECIFE
SRVPHT001STG	10.156.20.25	SANTA GERTRUDES
SRVPTH001SUM	10.156.188.10	SUMARÉ
SRVPTH001TOC	10.156.100.99	TOCANTINS
SRVPTH001TRD	10.156.96.99	TRINDADE
SRVPHT001URU	10.156.34.24	URUGUAIANA
SRVPHT001SPO	10.156.76.162	WTORRE-CORPORATIVO
SRVPHT001SPO	10.156.76.162	WTORRE-CORPORATIVO
SRVPHT001ZOM    0.0.0.0         ZONA OESTE MAIS
